finding,found_on,found_by,link_id,retiring_code,what_looked_wrong,error_class,root_cause,response,rows_affected,value_cad_affected,control_added
69,2026-08-12,analyst,imports:3002.90.00.10:2021-12,3002.90.00.10,"Row 66 carries reject where accept is obviously right: Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates against Toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, matching 0.9466.",a warning that expired before it was read,"The decision was correct when it was made. The proposal then read Butter-making ferment cultures at 0.2626, because the ranker was scoring against a life that had closed. The wording was corrected, check_this_again fired once, and by the next rebuild there was no difference left to detect, because it compared against the previous BUILD rather than against what was on screen when the judgement was taken.","work/_decisions_seen.json records the proposal and its wording the first time a decision appears, and is refreshed only when the decision itself changes. Five decisions rest on a wording that has since been corrected and all five say so, quoting what was on screen. Rows 7, 43, 60, 66 and 68.",5,,a decision resting on a corrected wording is still flagged
70,2026-08-12,analyst,,,"The analyst asked whether the wrong-era wording had been audited at all, or only patched where they had pointed, and how they could now be assured the descriptions are faithful.",a defect fixed three times without ever being searched for,"Fair. It was fixed in the sheet when row 71 was queried, then in the ranker when rows 193 and 196 were queried, each time at the place named and never anywhere else. A full audit of all nine pipeline modules found a THIRD reader still live: the second alternative was described and rule-checked from the earliest-wording map, and a fallback on the retiring code reached the same map. Stage 0, 1a and 1b were checked and are era-correct already: stage1_candidates takes the description in force at the month the code stopped, which is right.","The earliest-wording map is deleted rather than corrected, because the map itself is the hazard. Every wording now comes from the code's lives. Audited end to end: of 113 places the sheet shows a wording for a reused number, 0 are from the wrong era. A control parses all nine modules and fails if any earliest-wording map reappears.",113,,no earliest-wording map survives anywhere in the pipeline
71,2026-08-12,"automated review, verified by hand, 2026-08-12",exports:3002.90.20:2016-11,3002.90.20,"Asked whether row 71 was fixed, its flag read only that the method still does not recommend the proposal, with no mention that the proposal had been replaced since the decision was taken.","the same expiring warning, in the other column","decided_against_successor fell back to whatever the sheet currently showed when it held nothing, so once a rebuild wrote the new proposal into the sheet the two agreed again and the warning stopped. Row 71 was decided against the blood residual, moved to Ricin, said so on one build and then went quiet. The description flag was fixed an hour earlier and the proposal flag beside it was left on the old mechanism.","Both now read from work/_decisions_seen.json, which records what was on screen when the judgement was taken and is refreshed only when the decision changes. Six decisions rest on evidence that has since moved and all six say what moved.",6,,a decision resting on a corrected wording is still flagged
72,2026-08-12,analyst,exports:3003.42.00:2024-09,3003.42.00,"Commodities that stopped trading in 2024 to 2026 were being offered for decision, and the analyst judged it too early to tell whether they had retired at all.",silence read against the calendar instead of the code's own history,"The tail guard held a span only if it stopped within 12 months of the delivery's last month. Twelve months is calendar time, and what silence MEANS depends on how often a code ever traded. 3003.42.00 traded 4 months out of 65 and has already come back from a 49-month gap, so 21 months of quiet says nothing. 3003.31.00 has come back from 106. Both were in the queue as retirements, one of them recommended.","stage 0 now records longest_quiet_months per commodity, measured from month-level records, which is the only stage that sees them. A span is held when its silence is no longer than a silence the code has already come back from. Applied only where silence is the only evidence: a retirement at an HS revision boundary is settled by the tariff and is never held on the gap. Two rows moved, 193 and 196, and no others.",2,1445200,a hold names which of the two reasons applies
73,2026-08-12,"automated review, verified by hand, 2026-08-12",,,The first attempt at the gap measure held 12 rows including nine that had plainly retired in the 2022 restructure.,a measure taken from the wrong table,"It computed gaps between INVENTORY ROWS, which are description changes, not trading months. A code with 240 unbroken trading months and two descriptions read as having a gap of years. The inventory is a summary and never held the months.","Moved to stage 0, the only stage that reads month-level records. Two controls check the value is bounded by the code's own span and that a revision-boundary retirement is never held on silence.",12,,that silence is bounded by trade on both sides
74,2026-08-12,analyst,imports:3002.20.00.90:2021-12,3002.20.00.90,"Row 210, worth CAD 11.1 billion, proposes the influenza-specific vaccine line for a code whose own description is Vaccines, nes. Row 211 is the same commodity on the export side and proposes the general line, which shows what row 210 should have had.",a residual narrowed into a specific line,"The residual sibling 3002.41.00.90, Vaccines o/t against influenza, nes, is the runner-up at 0.6222 and lost to the influenza line at 0.6585. Text similarity has no notion of which line is the container.","NOT FIXED, and it cannot be a veto. Tested against the concordances: 31 of the 47 official successions whose source is a residual land on a NON-residual target, because the 2012 and 2017 restructures dropped the word nes from the new wording. Forbidding the shape would contradict Canada's own record on 31 counts. The row is HELD in any case, awaiting a correlation table. Recorded so the surfacing work is not confused with a rule.",10,11076237268,none; this finding is open
75,2026-08-13,analyst,,,"The answer sheet would not open. Excel refused stage2_decisions.xlsx outright and did not offer to repair it, on a machine where it opened all 23 other workbooks in the toolkit and a control file written the same way.",a file every reader in this project accepts and Excel refuses,"Two faults in the preservation path of _xlsx.write, both in the sheet header and neither in the data. ET.tostring re-serialised the kept sheetPr, sheetViews, sheetFormatPr and cols with invented ns0: prefixes, and Excel reads those elements only unprefixed. And the writer emitted dimension ahead of sheetPr, where CT_Worksheet fixes the order. ElementTree and openpyxl are namespace-aware and order-tolerant, so the gap between them and Excel is silent by construction: the zip was intact, every part parsed, every relationship resolved, every style index was in range, and 391 controls passed on a workbook nobody could open. Isolated by bisecting the package, not by guessing. The original rows under a rebuilt header open; a rebuilt file under the original header does not. sheetData was never implicated.","FIXED at 72dffd0. The main namespace is registered as the default, the five header elements are assembled in the order the schema fixes, and attributes from other namespaces are dropped. x14ac:dyDescent is the only thing removed from the file, a text baseline hint whose prefix Excel declares at the worksheet root and which did not travel with the element. Nothing in the sheet moved: sheetData is byte for byte identical at 302,501 bytes, styles.xml and the theme and sharedStrings are unchanged, and two independent readers over all 5,544 cells found no value changed, no empty cell populated, no populated cell emptied, and 230 of 230 row digests matching. All 212 decisions, the 9 marked rows, the frozen pane and the ten column widths survived. The workbook had been unopenable since 2026-08-12, so this predates the move between machines rather than being caused by it.",230,,"two: the worksheet names its elements without a namespace prefix, and its opening elements are in the order the schema fixes. Both were proven to fail against the broken workbook. The order control passed against it at first because its pattern matched only the unprefixed spelling, leaving it blind on exactly the files it existed to catch"
76,2026-08-13,"automated review, verified by hand, 2026-08-13",,,"The queue proposed successors for codes that had never left the tariff. 3003.42, 3003.60, 3003.41 and 3004.43 each stand in Canada's schedule across all nine vintages from 2017 to 2025, carry no stated_termination, and were still offered a successor because their trade stopped.",a candidate rule tested against the record and not adopted,"Silence in the trade data was being read as retirement. The tariff schedule answers the question directly and the pipeline consults it only to exclude candidates, never to ask whether the retiring code itself survived. The obvious rule, that a code still in the schedule has no successor, contradicts Canada's own concordances 47 times in 144, because a catch-all line can lose part of its contents and still exist: 3003.90.00.90 and seven 3004.90.00.xx lines were carved into the new antimalarial lines 3003.60 and 3004.60 while surviving. Refined to exclude catch-all sources, the contradiction falls to 2 of 144, being 3004.90.00.61 and 3004.90.00.74, both carved into 3004.60.00 at HS2017.","NOT BUILT, deliberately. At 1.4% the refined rule contradicts the record more often than the human and veterinary rule that was stopped at 1.2%, so it cannot disqualify. Its reach is 9 rows worth CAD 8,875,427, one hundredth of one percent of the queue by value, and at action=review it would decide nothing a person does not decide anyway. The nine rows were adjudicated by hand instead: rows 18, 37, 38, 60 and 196 to none, and rows 27, 29, 30 and 36 to 3006.92.00.00. Revisit when another chapter is ingested, where the reach would scale. The subheading-residual form of the same idea was also dropped: it reached one row and conflicts head-on with the active specific-against-residual rule, since a nes line excludes a specific line by definition while that line lives.",9,8875427,"none; the rule was tested and not built, and the reasoning is recorded here"
77,2026-08-13,"automated review, verified by hand, 2026-08-13",,,"Three alkaloid rows proposed a sibling controlled precursor as successor. Row 18 offered ephedrine for norephedrine, row 37 offered pseudoephedrine for ephedrine, and row 38 offered ephedrine for pseudoephedrine, all at wording matches above 0.90.",a rule that cannot match the wording the delivery actually uses,"The stimulant rule separates pseudoephedrine from norephedrine only. Its own note records that the ephedrine side was dropped on 2026-08-10 because bare ephedrine appears in no description. That is true of the string ephedrine and misses why: the delivery writes it truncated, as ephedrin, in 4 descriptions, against pseudoephedrine in 4 and norephedrine in 3. pipeline/_shorthand.py does not map the truncation. So ephedrine is unguarded against both of its siblings, and every one of the three bad proposals runs through an ephedrin line.","NOT FIXED, deliberately, and this is the reason rather than an oversight. Simulating the fix shows it makes the proposals worse, not better: row 18 would move to antibiotics at 0.8052, row 38 to acetaminophen at 0.8481, and row 37 to a catch-all at 0.8050. The true answer on all three is none, and the ranker has no way to say that, so vetoing the least bad candidate only promotes the next worst. All three rows are already decided reject with none, five further rows carrying ephedrine-family terms would shift, and decisive_distinctions.csv, meaning_gates.py and stage1c_rank.py are all VERIFY_COPY critical files. The harm is remediated by the decisions; closing the gap would destabilise them and change no answer. Revisit if another chapter is ingested, where an ephedrine line might have a real successor.",3,503636,"none; recorded rather than fixed, and the reason for not fixing is the finding"
78,2026-08-13,"automated review, verified by hand, 2026-08-13",,,"The suite reported 401 of 401 controls passing while twelve of those controls were written record(<name>, True, <detail>) and could not fail on any input. They printed PASS on a codebase where the property they name was false. The audit put the count at fifteen; three of those, in check_official_constraint_sets.py, sit inside try/except blocks whose except branch calls record(<name>, False, <the error>), so they are real controls that the detecting pattern could not tell apart. Proven by pointing a copy of that check at files that do not exist, which produced two FAIL lines and a non-zero exit.",a control that asserts itself rather than a property of the run,"Two different things were being written with the same call. Some were disclosures, true by construction and worth printing: that the second alternative is ALLOWED to be a candidate a rule removed is a design decision, not a measurement. Others were real properties that had simply not been expressed as a test, and one cited a different check by name instead of testing anything. Sharing record() with the passing controls folded both into a headline a reader takes as N falsifiable tests.","FIXED. Four converted to controls that fail when broken, each proven: every proposal must be a candidate its own row's ranking left standing, which is the checkable form of the claim that the family table never selects a successor and which fails when a proposal is swapped for a non-survivor; every row the official record bounds must be proposed a code from inside the record's own destination list, twelve rows, which fails when one is moved outside it; an independent walk of the proposal graph must find no undisclosed circle, which fails when two rows are pointed at each other and is itself proven on a planted loop first; and the stage-0 export pin split so the half that compares the inventory to the domestic extract runs on every copy rather than only where source/exports.db happens to exist. Seven that genuinely cannot fail moved to a new disclose() printing NOTE and tallied apart. One was deleted: the old reordering control, superseded by the four sandboxed carry-forward controls, which perturbed the LIVE answer sheet and so stood down on every real run while reporting that standing down as a pass. Suite is 395 controls and 7 disclosures; all 11 artefacts still reproduce byte for byte and the workbook is unchanged part for part.",0,0,"4 converted controls, 1 detector self-test, disclose() in three checks, and a disclosures line in run_pipeline_end_to_end.py that never adds to the control total"
79,2026-08-13,"automated review, verified by hand, 2026-08-13",imports:3002.39.10.00:1995-12,3002.39.10.00,"Ten rows named a second alternative and left its score cell empty, which reads as no score existing. On four of them a score did exist in stage1_ranked and was simply not shown, and on rows 40, 41 and 50 it equalled or beat the score of the proposal beside it: 0.6709 against 0.6364 on row 40, 1.0000 against 1.0000 on row 41, 0.4242 against 0.4242 on row 50. All three carry a decision of accept, taken without that number on screen.",evidence the reader needed was computed and not shown,"The second alternative is chosen from six option sources and five of them carry a score through from the ranking. The sixth, the chain terminus from chain_ends_at, does not, because it is not a ranked candidate but the end of a followed chain. It was appended as (code, '', '', False) and the empty string reached the sheet unchanged. Nothing required a score, so nothing noticed. Every one of the ten rows had taken the terminus.","FIXED in make_adjudication_queue.py: where an option arrives without a score, one is computed with wording_ratio, the ranker's own function, against the wording in force at that boundary. Verified to reproduce the ranked score to four places on all four rows that carry one, so a filled cell is comparable to a ranked one rather than a second opinion. The six waste rows gain a score too, between 0.5161 and 0.6316 against proposals of 0.9159 to 0.9804, which states plainly that the terminus is offered because the chain ends there and not because it reads alike. Ten cells changed in the workbook, all in that one column; the five analyst columns are untouched and the queue artefact is byte for byte what it was. ROWS 40, 41 AND 50 ARE NOT RE-DECIDED HERE. The score is now visible and the decision is the analyst's to keep or change.",10,0,"2 in check_adjudication_queue.py: every alternative shown carries a score, proven to fail on the old builder with 10 unscored rows; and each score reproduces from the two descriptions on its own row using the ranker's function, proven to fail on a planted 0.9999. proposed_successor_wording_match and second_alternative_wording_match were also added to WATCHED, so a score moving beside an unchanged code now raises the row"
80,2026-08-13,"automated review, verified by hand, 2026-08-13",,,"The reproducibility proof reported 11 artefacts reproducing byte for byte, and two things sat outside it. clear_artefacts() deletes the 10 work CSVs and the queue and nothing else, so work/_row_numbers.json, _queue_previous.json and _decisions_seen.json survive both passes and were neither deleted nor hashed. And neither stage2_decisions.xlsx nor its CSV copy appears in any hashed list, so the answer sheet, where the 19 method-computed columns are merged with the 5 the analyst writes, was excluded from the comparison entirely.",a reproducibility claim wider than the run supports,"Both exclusions were deliberate and neither was stated. The ledger must survive a rebuild or row numbers move under the analyst, and the answer sheet must be merged rather than regenerated or their work is lost. What was missing is that the report read as though the code alone fixed every byte. Measured in a sandbox on 2026-08-13: delete _row_numbers.json and the queue rebuilds with a different digest, with 47 of 230 row numbers moved. So the queue reproduces GIVEN the ledger, and nothing said so and nothing watched the ledger for drift.","FIXED by stating the dependency and closing the gap rather than by deleting the ledger, which would renumber the sheet. The three carried files are now hashed in both passes and printed under their own heading, so drift in the ledger is visible instead of invisible; all three were measured stable across repeated builds, so the comparison is fair rather than a guaranteed red. The answer sheet is now compared too, on its 19 method columns only, digested from the CSV copy keyed on link_id and sorted: the analyst's 5 columns are excluded, so a decision typed into Excel does not trip it while a change in the merge does. The report separates the three cases in words: deleted before each pass, carried across both, and merged never regenerated.",0,0,"3 ledger digests and 1 answer-sheet method digest, all wired into the drift verdict. Proven: editing an analyst column leaves the sheet digest identical while editing a method column changes it, and injecting a drift into either the ledger or the sheet digest produces DRIFTED, DIFFERS BETWEEN RUNS and NOT SOUND"
81,2026-08-13,"automated review, verified by hand, 2026-08-13",imports:3002.10.21.20:2006-12,3002.10.21.20,"The origin gate is declared to disqualify a candidate across the human against animal origin distinction, and on four candidate pairs it did not fire where it should have. The natural experiment sits on one commodity pair: 3002.10.10.10 'Antisera & o blood fractions, human origin, for diagnostic use' against 3002.10.00.42 'Sera and antisera, of animal origin' is vetoed origin, while 3002.10.10.29 'Antisera & o blood fract, human orig' against that same candidate carried no veto at all.",a declared rule blind to the corpus's own abbreviation,"The gate is a phrase pair on the strings 'human origin' and 'animal origin', matched after expand_shorthand. Two import codes, 3002.10.00.29 and 3002.10.10.29, write the word as 'orig', and the expander had no entry for it, so expand_shorthand('orig') returned 'orig' and neither side of the pair could match. The rule was correct and could not see its own case.","FIXED by adding orig to origin in pipeline/_shorthand.py, which is a wording gap rather than a rule change: the same gate already fired on the spelled-out twin of the same commodity. Measured before adopting, as every candidate rule is. Four candidate pairs newly vetoed and six ranked rows touched, all on imports, exports byte for byte unchanged. NO PROPOSAL MOVED and NOT ONE CELL of the answer sheet changed: its 19 method columns digest to the same value before and after. The queue records the removals on rows 93, 134 and 137, where candidates_removed_on_meaning gains the code with reason origin and other_candidates_considered falls by one. Zero contradictions against the 2011-2012 and 2016-2017 Canada concordances. Three other unvetoed origin pairs stay unvetoed and should: their wording is 'except of human or animal origin', a negation rather than a claim.",3,0,"none new; the existing pinned veto count in check_stage1c_rank.py caught the change and went red at 1145 against an expected 1141, which is the guard working. The pin was re-measured to 1145 with the four codes named in the comment beside it"
82,2026-08-14,"automated review, verified by hand, 2026-08-14",imports:3003.39.91.00:1997-07,3003.39.91.00,"Four rows offer a second alternative that a meaning gate had already removed, and the sheet says so on none of them. On this row the advice reads SECOND, the alternative is this code's own family line, against a candidate vetoed on continuity that first trades 2012-01 against a 1997-07 retirement.",a sentence computed into a variable nothing reads,"make_adjudication_queue.py built the provenance string into a local named alternative with six assignments and, by AST over the whole file, zero loads. The block around it held three verbatim copies of the answered/decided_against/span computation already done at the top of the same loop. The audit reported one row because it looked at the closest_removed_candidate source alone; three of the four reach the sheet through a different source and were silent.","FIXED. The removal is looked up by CANDIDATE CODE against the row's own record of what was removed and why, so it cannot depend on which branch offered it. It is carried on how_the_second_relates in every case, and prefixed to the advice only where the advice actually sends the reader to the alternative. Prefixing it everywhere was tried first and was wrong: three of the four rows say ACCEPT about the PROPOSAL, so the warning read as though the proposal had been removed, and two controls in check_medicine_families.py caught it on row 41. The dead chain and the three duplicated blocks are deleted.",4,0,"check_adjudication_queue.py: no alternative a meaning gate removed reaches the sheet unlabelled, and its converse, no alternative is labelled removed that no gate removed. Both proven to fail, the first against the pre-fix artefacts at git HEAD and the second by injecting a false label."
83,2026-08-14,"automated review, verified by hand, 2026-08-14",exports:3002.11.00:2021-11,3002.11.00,"An export line was decided by hand while the identical import commodity, at the identical revision boundary, sat blank and held awaiting a correlation table. Three export rows were in that position, CAD 5,661,616.","money stops before a classification does, in a third place","held_for_official_evidence tested at_hs_revision_boundary, which Stage 1a computes from the last trading month alone. A line quiet one or two months before a revision it is stated to have died at therefore fell outside the hold, while its twin that traded to the final month fell inside. This is the same defect load_concordances was corrected for on 2026-08-11 and that the schedule layer carried until today, so it is the third instance of one error class rather than three unrelated faults.","FIXED. The hold now reads the stated termination from the inventory, as a UNION with the last trading month rather than a replacement, so it can only ever add a hold. Held rises 21 to 24. All three newly held rows had already been answered; the answers stand exactly as written and the sheet now raises a warning beside each, because silently overriding a decision is the one thing that must not happen.",3,5661616,"check_stage1c_rank.py: no retirement stated terminated at a revision escapes the hold, and correcting the hold took no hold away. check_adjudication_queue.py: every held row that already carries an answer warns about it. All three proven to fail."
84,2026-08-14,"automated review, verified by hand, 2026-08-14",exports:3002.11.00:2021-11,3002.11.00,"The tariff schedule removed five candidates from a retirement and wrote that they sit in a subheading the 2021 schedule no longer holds. The truth is the reverse: 30024100, 30024200, 30024900, 30025100 and 30025900 are the HS2022 lines created the January after the boundary, and the schedule did not hold them YET.",a layer reading the wrong side of the revision it sits on,"schedule_year_for returned int(boundary[:4]). The boundary is the month after the last trade, so a code quiet in November of a revision year has a December boundary and was tested against the pre-revision vintage. The comment three lines below said the schedule for the year AFTER the boundary, so the code contradicted its own stated rule. The layer's only licence is to rule out a candidate that did not exist yet, and here it vetoed the successors for existing too soon to be listed.","FIXED. The layer reads every vintage in force across the transfer window, from the boundary to the month after the classification ends, and takes the union. Because the window always contains the boundary year, a new removal is impossible by construction rather than by measurement. The first attempt read a single later vintage instead and was measured and thrown away: it removed 42 candidates across six 3006 import rows whose trade stopped years before their stated termination. Measured on the delivery: 9 candidates regained on 1 export row, 0 removed anywhere, 0 import survivor sets moved, and no proposal changed.",1,265948,"check_stage1b_official_record.py: the schedule removed no candidate any vintage in the window holds, proven to fail against the pre-fix artefacts; plus a matched pair of probes showing a candidate created after the boundary surviving the window and being removed without it. The independent six-digit recomputation now reads the window on both sides, which re-measured the full-length cost to 83 across 30."
85,2026-08-14,"automated review, verified by hand, 2026-08-14",exports:3004.90.00:2017-12,3004.90.00,"19 of the 135 tier-6 review rows print 'a high score with an identical meaning-word set' while their own columns say otherwise. The largest object in the export crosswalk, CAD 62,379,640,484, carries that sentence at a score of 0.5660 and a meaning overlap of 0.5556.",a catch-all describing only one of the ways to reach it,"The final branch of risk_rank was an unconditional return. Rows arriving by the text_review path, which is LOW <= top < HIGH by construction, met a sentence written for the high-and-identical path. The tier was correct on every row; only the explanation was false, which no count could catch because nothing ever disagreed with it.","FIXED by splitting the branch. The high-and-identical rows keep their sentence; the rest state their actual score, the gates it falls between, the share of meaning words they carry, and that no rule fired. No tier moved and no link changed.",19,72036869803,check_stage1c_rank.py: no tier-6 reason claims a high score the row does not carry. Proven to fail against the pre-fix artefacts at git HEAD.
86,2026-08-14,analyst,exports:3002.31.00:1995-12,3002.31.00,"The audit reported that the same commodity, Vaccines against foot or mouth disease for veterinary use, retires at the same boundary on both flows and lands in different places: exports on the named line 3002.30.10 and imports on the veterinary residual 3002.30.90.00, which are the same line at 8 and 10 digits.",not a defect,"The two flows are classified under different schedules. An export line and an import line are not required to resolve to the same depth, and the 8-digit and 10-digit forms of one line are the same destination described at the granularity each flow records.",NO CHANGE. Ruled correct by the analyst on 2026-08-14. Both rows stay accept. Recorded so the divergence is not re-raised as a defect by a later reader or audit.,2,0,none; a ruling rather than a defect
87,2026-08-14,analyst,imports:3002.39.10.00:1995-12,3002.39.10.00,"Finding 79 showed that on queue rows 40, 41 and 50 the second alternative carried a score at or above the proposal the analyst had accepted, hidden by a blank cell, and flagged all three as possibly deserving a second look.",not a defect,"The score is a wording comparison and says nothing about when a candidate existed. All three alternatives were introduced far later than the retirement they were offered for, which is why the continuity gate had already vetoed every one of them. A score at or above the proposal is exactly what a well-worded but impossible candidate produces.","NO CHANGE to any decision. Ruled by the analyst on 2026-08-14: the year gap is too wide and the proposals stand as accepted. The three rows are the same rows whose removals were unlabelled, so the sheet now states the veto that the analyst had to re-derive by hand. See the finding on the sentence computed into a variable nothing reads.",3,0,none; a ruling rather than a defect
88,2026-08-14,"automated review, verified by hand, 2026-08-14",exports:3003.40.00:2016-11,3003.40.00,"The document hold exempts a retirement whose layer is cbsa_concordance even when that concordance only CONSTRAINED it, while holding a retirement a constraint set bounded to the identical codes. Exports 3003.40.00 is bounded to 3003.41.00, 3003.42.00, 3003.43.00 and 3003.49.00 and is held. Its import twin 3003.40.00.00 is bounded by Canada's concordance to exactly those same four and is NOT held, and was decided accept on CAD 112,415,829. The two flows carry the same official evidence and are treated differently because it reached them in different files.",an exemption keyed on the source of the evidence rather than its strength,"held_for_official_evidence exempts on deciding_layer == 'cbsa_concordance' without reading the outcome, so 'constrained' exempts as readily as 'decided'. The hold's own docstring says it fires when nothing stronger has already answered, and a bound naming four codes is not an answer on either flow. Pre-existing rather than introduced by the 2026-08-14 hold correction; that correction pulled the export row into the hold and so made the difference visible. Three constraint_set rows are held today, CAD 4,771,463,921.","FIXED the same day, after the analyst asked for it to be taken next. The exemption no longer names a file. It reads what the record ACHIEVED: a single named destination exempts, because nothing stronger is coming, and a bound whose destinations all sit in ONE six-digit subheading exempts, because the correlation tables map HS6 to HS6 and could not narrow it. Neither of the three options first weighed was adopted; the six-digit test came out of measuring whether the awaited document could say anything at all. Of the 16 rows the old exemption covered, 12 are genuinely decided and stay exempt, 3 are bounded across four or five subheadings and are now held, and 1 (imports 3002.10.00.30, bounded to three codes inside one subheading, CAD 1,100,455,460) stays exempt on the new ground. Held 24 to 27, CAD 8,284,840,016 added. No row lost a hold. All three newly held rows already carry an accept; every answer stands untouched and the sheet warns beside each.",3,8284840016,"check_stage1c_rank.py, three of them. 'the hold re-derives without ever reading which source spoke' rebuilds the whole decision from the official file and the inventory and never looks at deciding_layer. 'every held row is one the awaited table could still narrow' pins the six-digit test. 'retirements bounded to the same subheadings reach the same hold' runs ACROSS BOTH FLOWS and is keyed on the stated termination, because a per-flow version keyed on last trade could not see the export-versus-import pair that exposed this. All three proven to fail: the first two against the shipped defect reinstated in the pipeline, the third against the six-digit test removed on its own. A fourth control was written and DELETED rather than kept: 'no held row was already settled by the record' cannot fail, because a settled row never enters the review queue, which is the M9 defect repeating."
89,2026-08-14,"automated review, verified by hand, 2026-08-14",imports:3004.50.00.20:2011-12,3004.50.00.20,"Canada's ten-digit concordance names TWO destinations for this retirement, 3004.50.00.19 and 3004.50.00.90. The `use` meaning gate removed the second, so a two-way official answer worth CAD 7,548,977 reached the analyst as a single survivor and was accepted. Stage 1c's own docstring says a gate 'never proposes one, never ranks, and never overrides the record'.","one set asked two different questions, so an exemption reached one veto of many","build folded the record's destinations into continuous_codes and passed that single set to rank_one. continuous_codes suppresses the continuity veto and nothing else, so every phrase-pair gate still ran on codes the concordance had named. The exemption was written once and read as though it covered all gates. One candidate of 3,634 was affected today, but the defect is general and recurs on any delivery where a named destination trips a gate.","FIXED. The official destinations are passed to rank_one as their own argument, and apply_decisions gains a named_by_record flag: the gate is still EVALUATED, and its objection is returned as an overruled gate rather than as a veto, so the candidate stays in the field and the disagreement stays visible. Suppressing the evaluation would have hidden it. Measured: imports vetoed 1145 to 1144, exactly one candidate, and NOTHING MOVED BUT DISCLOSURE. The proposal, the risk tier, every other row and the answer sheet's method digest are unchanged; the un-vetoed candidate scores 0.3553 against the proposal's 0.5200 and could not have won.",1,7548977,"check_stage1c_rank.py: 'no destination the record names is vetoed by a gate' and 'the record overruled a gate on exactly the candidates measured'. check_adjudication_queue.py: 'a gate the record overruled is stated on the row it happened to'. All three proven to fail against the defect reinstated in the pipeline. A FOURTH was written and rewritten: its name claimed the objection was recorded while its assertion only checked that no unnamed candidate carried the flag, which is trivially true when the flag is never set, so it passed against the very defect it was written for. That is the audit's own finding about a control whose name claims more than it tests, reproduced while fixing another."
90,2026-08-14,"automated review, verified by hand, 2026-08-14",,,"Two extractions of the same five WCO correlation PDFs already existed and DISAGREED on four of the five boundaries: inspire2/work/wto_ch30_pairs.csv and pharma/bridge/wto_all_pairs.csv. For 2017-to-2022 the v1 file is a strict subset, 24 pairs against 39, missing 15 and holding none the other lacks.",evidence filtered by page rather than by code,"v1 filtered by Chapter-30 PAGES, so a correlation pair printed on a chapter-38 page was discarded at parse time. Every one of the 15 lost pairs is cross-chapter, and they include 3002.11, 3002.13, 3002.14 and 3002.15 against 3822.11, 3822.12 and 3822.19: HS2022 moving diagnostic goods OUT of Chapter 30 under new exclusion Note 1 (ij). A crosswalk that cannot see goods leaving the chapter cannot say a code has no successor in it. Neither existing file could be adopted regardless: both live outside this project, both were produced by a script carrying a dead pre-move path, and pharma's `remarks` column staples a paragraph about 3006.80 onto an unrelated 3001.10 pair.","RE-EXTRACTED inside inspire2_v2 by evidence/wto/extract_wto_pairs.py, writing evidence/wto/wto_ch30_pairs.csv, 310 rows. It is EVIDENCE, not a pipeline stage: it needs pdfplumber, it is run by hand, and the release build reads only the CSV and stays standard-library only, exactly as evidence/cbsa/*.csv already works. Both of the document's tables are extracted and normalised to old -> new, so the document says everything twice and the two halves can be compared. They agree perfectly on three of five boundaries and differ by one pair on the other two, both differences verified by eye as the document disagreeing with itself. FOUR PARSER DEFECTS were found and fixed by that comparison, each of which had silently lost or invented evidence: the section regex required the line to end at TABLE I, which missed both markers in two documents and produced ZERO rows for them; the column boundary was anchored on the header word Remarks at x=365 while its paragraph starts at x=255, so code-shaped tokens in prose were read as correlations and produced impossible pairs; codes written comma-separated were rejected by an anchored regex, losing the whole origin list of new subheading 3006.93; and a footnote line was starting a data block.",0,0,"The extraction reports Table I against Table II per boundary and prints every disagreement, which is what found all four parser defects. A control in the pipeline is still to be written when Layer 2 of stage1b is wired to read the CSV."
91,2026-08-14,analyst,exports:3002.11.00:2021-11,3002.11.00,"The row was answered reject -> 3002.15.00 while it was HELD awaiting a correlation table. The table, once extracted, maps 3002.11 to 3822.11 and to nothing else.",a hand judgement overruled by the document it was waiting for,"The original reasoning was product similarity and every factual claim in it holds: a malaria rapid test is an antibody-based immunological product sold retail-packed, 3002.19 does retire at the same boundary and cannot be a fallback, and 3002.15 does trade through to 2026-06. What it could not know is that the same HS2022 exclusion note is also emptying 3002.15 into 3822, so the line it named was itself on the way out.","CHANGED to reject -> none on the analyst's instruction, after the tables were re-extracted in-project and the finding confirmed from both of them independently: Table I page 10 gives 3822.11 <- 3002.11, Table II page 30 gives 3002.11 -> ex3822.11. The original answer is kept in the reason cell beneath the ruling rather than deleted. Stage 2 now records the row as left_chapter; exports succeeded 25 -> 24 and left_chapter 4 -> 5, the value untouched. SEPARATELY: 3002.19 has NO correlation row in any table. The document states the subheading was considered empty by the HS Committee and deleted, so the two held 3002.19 retirements will never be answered by this document and must be decided on other grounds.",1,265948,"none new; the pinned outcome and basis splits in check_stage2_apply_decisions.py moved with it and carry the reconciliation. This is the hold mechanism working as designed: the row was marked DO NOT DECIDE, was answered over that hold, the sheet warned about it, and the document disagreed."
