link_id,row,verdict,status,priority,why_this_needs_you,flow,retiring_code,retiring_description,last_traded,value_cad,proposed_successor,proposed_successor_description,proposed_successor_first_traded,proposed_successor_last_traded,successor_began_at_the_boundary,successor_is_more_aggregate,months_gap,gap_named_by_the_record,suggested_decision,why_not_recommended,wording_match,shared_meaning_words,runner_up,runner_up_description,runner_up_first_traded,runner_up_last_traded,runner_up_wording_match,other_candidates_considered,official_record,closest_removed_candidate,closest_removed_description,closest_removed_first_traded,closest_removed_last_traded,closest_removed_wording_match,closest_removed_why,candidates_removed_on_meaning,record_overruled_gate,official_record_note,record_narrowed_note,best_candidate_passing_every_rule,best_candidate_description,best_candidate_wording_match,best_candidate_is_the_leftover_line,how_they_relate,family_of_the_retiring_code,family_evidence,class_residual_available,class_residual_description,class_residual_wording_match,same_wording_reappears_at,same_wording_reappears_from,same_wording_gap_months,substance_named_again_later,successor_also_retires,chain_ends_at,chain_hops,successor_swaps_a_term,term_in_the_retiring_code,term_in_the_successor,successor_was_carved_out_of_it,carved_out_term,carved_out_by,a_leftover_line_widened_here,widened_line,widened_line_added_terms,widened_line_rank,successor_co_traded_months,codes_never_considered,closest_never_considered,closest_never_considered_description,closest_never_considered_wording_match
imports:3002.39.90.00:1995-12,41,ANALYST - a candidate is shown but NOT recommended,decide,3,the closest wording was ruled out on meaning,imports,3002.39.90.00,"Vaccines, veterinary use, nes",1995-12,71013102.00,3002.30.90.00,"Vaccines, veterinary use, nes",1996-01,1997-12,yes,no,0,no,none,"the code proposed here stops trading 24 months after the one it would replace, so the two ended in the same restructuring and neither received the other's trade. Following the chain, the trade appears to end at 3002.42.00.90.",1.0000,1.0000,3002.90.90.10,Bacteria culture inoculants for seeds,1988-01,1997-12,0.4375,13,no official source reaches this boundary,3002.30.00.90,"Vaccines, veterinary use, nes",1998-01,2021-12,1.0000,continuity,3002.30.00.90 (continuity); 3002.42.00.90 (continuity); 3002.20.00.30 (use); 3002.41.00.90 (continuity;use); 3002.41.00.10 (continuity;use); 3002.20.00.20 (use); 3002.10.00.51 (continuity;use); 3002.10.29.10 (use); 3002.20.00.10 (use); 3002.59.00.00 (continuity); 3002.90.00.91 (continuity); 3002.20.00.90 (use); 3002.49.00.90 (continuity); 3002.10.00.59 (continuity); 3002.90.00.19 (continuity); 3002.10.00.41 (continuity;use); 3002.10.21.10 (use); 3002.49.00.20 (continuity); 3002.90.00.20 (continuity); 3002.51.00.00 (continuity); 3002.10.00.29 (continuity;use); 3002.10.10.29 (use); 3002.10.00.49 (continuity;use); 3002.10.21.90 (use); 3002.90.00.10 (continuity); 3002.90.00.99 (continuity); 3002.10.00.30 (continuity); 3002.12.00.21 (continuity;use); 3002.42.00.10 (continuity); 3002.90.00.90 (continuity); 3002.12.00.12 (continuity); 3002.12.00.13 (continuity); 3002.12.00.11 (continuity); 3002.49.00.10 (continuity); 3002.10.00.10 (continuity); 3002.10.00.42 (continuity;use); 3002.10.21.20 (use); 3002.11.00.00 (continuity); 3002.19.00.00 (continuity); 3002.10.00.21 (continuity;use); 3002.10.10.21 (use); 3002.12.00.19 (continuity); 3002.13.00.00 (continuity); 3002.12.00.29 (continuity); 3002.30.00.10 (continuity); 3002.10.00.22 (continuity;use); 3002.10.00.23 (continuity;use); 3002.10.10.22 (use); 3002.10.10.23 (use); 3002.10.00.90 (continuity); 3002.15.00.00 (continuity); 3002.90.00.11 (continuity); 3002.14.00.00 (continuity); 3002.90.00.12 (continuity); 3002.90.00.50 (continuity); 3002.90.00.40 (continuity); 3002.90.00.92 (continuity); 3002.90.00.93 (continuity); 3002.90.00.30 (continuity); 3002.10.00.60 (continuity),none,no official source reaches 199601,,,,,,the same commodity under a new number,Veterinary vaccines,"asserted, unsourced",,,,,,,yes,"yes, within 24 months",3002.42.00.90,3,no,,,no,,,no,,,,,291,3004.90.00.81,"Anaesthetic, for veterinary use, in dosage",0.6567
imports:3004.32.90.11:1997-12,42,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3004.32.90.11,"Hydrocortisone, for human use, in dosage",1997-12,23749181.00,3004.32.00.81,"Hydrocortisone, for human use, in dosage",1998-01,2001-12,yes,no,0,no,approve,,1.0000,1.0000,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",1998-01,2001-12,0.7473,1,no official source reaches this boundary,3004.32.00.11,"Hydrocortisone, for human use, in dosage",2002-01,2011-12,1.0000,continuity,3004.32.00.11 (continuity); 3004.32.00.82 (continuity); 3004.32.00.90 (use); 3004.32.00.20 (continuity;use); 3004.32.00.19 (continuity); 3004.32.00.00 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,"Adrenal cortical hormones, nes, for human use, in dosage","asserted, unsourced",,,,,,,yes,yes,3004.32.00.11,2,no,,,no,,,no,,,,,236,3004.90.00.75,"Diuretics, for human use, in dosage",0.8169
imports:3004.50.99.22:1989-12,43,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3004.50.99.22,"Multivitamins not mixed with o supplements, for human use, in dosage",1989-12,11347774.00,3004.50.99.30,"Multivitamins not mixed with o supplements, for human use, in dosage",1990-01,1997-12,yes,no,0,no,approve,,1.0000,1.0000,3004.50.99.12,"Vitamin E only, for human use, in dosage",1988-01,1997-12,0.6923,5,no official source reaches this boundary,3004.50.00.50,"Multivitamins not mixed with o supplements, for human use, in dosage",1998-01,2011-12,1.0000,continuity,3004.50.00.50 (continuity); 3004.50.00.69 (continuity;mixing); 3004.50.99.49 (mixing); 3004.50.00.40 (continuity;mixing); 3004.50.99.20 (mixing); 3004.50.00.13 (continuity); 3004.50.00.32 (continuity); 3004.50.00.31 (continuity); 3004.50.00.20 (continuity); 3004.50.00.39 (continuity); 3004.50.00.12 (continuity;mixing); 3004.50.00.61 (continuity); 3004.50.00.14 (continuity;mixing); 3004.50.00.19 (continuity); 3004.50.00.70 (continuity;use); 3004.50.99.50 (use); 3004.50.00.11 (continuity); 3004.50.00.10 (continuity); 3004.50.00.90 (continuity;use),none,no official source reaches 199001,,,,,,the same commodity under a new number,"Multivitamins mixed with other supplements, nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,yes,3004.50.00.50,2,no,,,no,,,no,,,,,354,3004.90.00.34,"Antihistamines agents, for human use, in dosage",0.6847
imports:3004.50.99.29:1989-12,44,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3004.50.99.29,"Multivitamins mixed with other supplements, nes, for human use, in dosage",1989-12,11260315.00,3004.50.99.49,"Multivitamins mixed with other supplements, nes, for human use, in dosage,",1990-01,1997-12,yes,no,0,no,approve,,1.0000,1.0000,3004.50.99.20,"Single vitamin mixed w o supplements, for human use, in dosage",1990-01,1997-12,0.8308,6,no official source reaches this boundary,3004.50.00.69,"Multivitamins mixed with other supplements, nes, for human use, in dosage,",1998-01,2011-12,1.0000,continuity,3004.50.00.69 (continuity); 3004.50.00.50 (continuity;mixing); 3004.50.99.30 (mixing); 3004.50.00.40 (continuity); 3004.50.00.13 (continuity;mixing); 3004.50.00.32 (continuity); 3004.50.00.39 (continuity); 3004.50.00.70 (continuity;use); 3004.50.99.50 (use); 3004.50.00.31 (continuity); 3004.50.00.61 (continuity); 3004.50.00.20 (continuity); 3004.50.00.12 (continuity); 3004.50.00.19 (continuity); 3004.50.00.14 (continuity); 3004.50.00.90 (continuity;use); 3004.50.00.11 (continuity;mixing); 3004.50.00.10 (continuity),none,no official source reaches 199001,,,,,,unknown,,,,,,,,,yes,yes,3004.50.00.69,2,no,,,no,,,no,,,,,354,3004.90.00.79,"Medicaments nes, for human use, in dosage",0.6789
imports:3003.90.99.10:1997-12,45,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3003.90.99.10,"Medicaments containing acetaminophen, in bulk",1997-12,10818930.00,3003.90.00.91,"Medicaments containing acetaminophen, in bulk",1998-01,2011-12,yes,no,0,no,approve,,1.0000,1.0000,3003.90.00.99,"Medicaments nes, formulated, in bulk",1998-01,2011-12,0.5897,2,no official source reaches this boundary,3003.90.00.30,"Medicaments containing acetaminophen, in bulk",2012-01,2026-06,1.0000,continuity,3003.90.00.30 (continuity); 3003.90.00.90 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,,,,,,,,,yes,,,,no,,,no,,,no,,,,,239,3004.20.00.11,"Medicaments containing cephalosporins, for human use, in doses/packings frs",0.6154
imports:3002.90.10.30:1997-12,46,ANALYST - a candidate is shown but NOT recommended,decide,3,the closest wording was ruled out on meaning,imports,3002.90.10.30,Dried blood of human origin,1997-12,5096986.00,3002.90.00.93,Antiallergenic preparations of microbial origin,1998-02,2016-12,no,no,1,no,none,"a candidate exists but its wording is below the 0.50 review threshold, so the method sends it on without a recommendation",0.4595,0.1429,3002.90.00.92,Whole human blood,1998-01,2016-12,0.4091,5,no official source reaches this boundary,3002.90.00.30,Dried blood of animal origin,1998-02,2026-06,0.8727,origin,3002.90.00.30 (origin); 3002.90.00.40 (continuity); 3002.90.00.90 (continuity); 3002.90.00.50 (continuity); 3002.90.00.12 (continuity); 3002.90.00.10 (continuity),none,no official source reaches 199801,,,,,,different family,Blood products,"asserted, unsourced",,,,,,,yes,,,,no,,,no,,,no,,,,,232,3006.20.00.10,"Blood-grouping reagents, of human origin",0.6364
imports:3002.90.90.20:1997-06,47,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3002.90.90.20,Whole human blood,1997-06,1607419.00,3002.90.00.92,Whole human blood,1998-01,2016-12,no,no,6,no,approve,,1.0000,1.0000,3002.90.10.30,Dried blood of human origin,1988-01,1997-12,0.4091,14,no official source reaches this boundary,3002.90.00.40,Whole human blood,2017-01,2026-06,1.0000,continuity,3002.90.00.40 (continuity); 3002.90.00.50 (continuity); 3002.90.00.90 (continuity); 3002.90.00.10 (continuity); 3002.90.00.12 (continuity),none,no official source reaches 199707,,,,,,the same commodity under a new number,,,,,,,,,yes,,,,no,,,no,,,no,,,,,339,3004.40.00.30,"Theophylline, for human use, in dosage",0.4528
imports:3004.50.99.21:1989-12,48,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3004.50.99.21,"Vitamins-iron preparation, for human use, in dosage",1989-12,1445854.00,3004.50.99.41,"Vitamins-iron preparation, for human use, in dosage",1990-01,1997-12,yes,no,0,no,approve,,1.0000,1.0000,3004.50.99.11,"Vitamin C only, for human use, in dosage",1988-01,1997-12,0.7816,7,no official source reaches this boundary,3004.50.00.61,"Vitamins-iron preparation, for human use, in dosage",1998-01,2011-12,1.0000,continuity,3004.50.00.61 (continuity); 3004.50.00.31 (continuity); 3004.50.00.32 (continuity); 3004.50.00.39 (continuity); 3004.50.00.20 (continuity); 3004.50.00.70 (continuity;use); 3004.50.99.50 (use); 3004.50.00.50 (continuity); 3004.50.00.69 (continuity); 3004.50.00.40 (continuity); 3004.50.00.19 (continuity); 3004.50.00.13 (continuity); 3004.50.00.14 (continuity); 3004.50.00.90 (continuity;use); 3004.50.00.12 (continuity); 3004.50.00.10 (continuity); 3004.50.00.11 (continuity),none,no official source reaches 199001,,,,,,the same commodity under a new number,"Multivitamins mixed with other supplements, nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,yes,3004.50.00.61,2,no,,,no,,,no,,,,,354,3004.90.99.71,"Cough/cold preparations, for human use, in dosage",0.7917
imports:3002.31.00.00:1995-07,49,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,imports,3002.31.00.00,"Vaccines against foot or mouth disease, veterinary use",1995-07,671805.00,3002.30.90.00,"Vaccines, veterinary use, nes",1996-01,1997-12,no,yes,5,no,approve,,0.5750,0.4286,3002.39.90.00,"Vaccines, veterinary use, nes",1988-01,1995-12,0.5750,13,no official source reaches this boundary,3002.20.00.30,"Vaccines against rabies, for human use",1988-01,2011-11,0.6222,use,3002.20.00.30 (use); 3002.20.00.10 (use); 3002.30.00.90 (continuity); 3002.42.00.90 (continuity); 3002.42.00.10 (continuity); 3002.20.00.90 (use); 3002.20.00.20 (use); 3002.41.00.10 (continuity;use); 3002.30.00.10 (continuity); 3002.41.00.90 (continuity;use); 3002.49.00.90 (continuity); 3002.10.00.41 (continuity;use); 3002.10.21.10 (use); 3002.10.00.49 (continuity;use); 3002.10.21.90 (use); 3002.49.00.10 (continuity); 3002.90.00.90 (continuity); 3002.90.00.99 (continuity); 3002.10.00.10 (continuity); 3002.10.00.21 (continuity;use); 3002.10.10.21 (use); 3002.12.00.11 (continuity); 3002.59.00.00 (continuity); 3002.10.00.51 (continuity;use); 3002.10.29.10 (use); 3002.10.00.22 (continuity;use); 3002.10.10.22 (use); 3002.49.00.20 (continuity); 3002.10.00.30 (continuity); 3002.15.00.00 (continuity); 3002.12.00.12 (continuity); 3002.51.00.00 (continuity); 3002.10.00.42 (continuity;use); 3002.10.21.20 (use); 3002.10.00.23 (continuity;use); 3002.10.10.23 (use); 3002.11.00.00 (continuity); 3002.90.00.30 (continuity); 3002.90.00.91 (continuity); 3002.12.00.13 (continuity); 3002.90.00.10 (continuity); 3002.90.00.93 (continuity); 3002.19.00.00 (continuity); 3002.90.00.19 (continuity); 3002.90.10.19 (continuity); 3002.10.00.29 (continuity;use); 3002.10.10.29 (use); 3002.90.00.20 (continuity); 3002.90.00.50 (continuity); 3002.13.00.00 (continuity); 3002.14.00.00 (continuity); 3002.12.00.21 (continuity;use); 3002.90.00.40 (continuity); 3002.90.00.92 (continuity); 3002.10.00.59 (continuity); 3002.10.00.60 (continuity); 3002.12.00.19 (continuity); 3002.12.00.29 (continuity); 3002.10.00.90 (continuity); 3002.90.00.11 (continuity); 3002.90.10.11 (continuity); 3002.90.00.12 (continuity),none,no official source reaches 199508,,,,,,its own leftover line,Veterinary vaccines,"asserted, unsourced",,,,,,,yes,yes,3002.42.00.90,3,no,,,no,,,no,,,,,291,3004.90.00.81,"Anaesthetic, for veterinary use, in dosage",0.5161
imports:3003.31.91.00:1990-05,50,ANALYST - a candidate is shown but NOT recommended,decide,3,the closest wording was ruled out on meaning,imports,3003.31.91.00,"Insulin, cont more than 23% of absolute ethyl alcohol by volume, in bulk",1990-05,129843.00,3003.31.99.00,"Insulin, formulated, in bulk, nes",1988-01,1997-12,no,no,0,no,none,"a candidate exists but its wording is below the 0.50 review threshold, so the method sends it on without a recommendation",0.4242,0.1818,3003.31.10.00,"Insulin, prepared for parenteral administration in humans, in bulk",1988-03,1997-10,0.4211,0,no official source reaches this boundary,3003.31.00.90,"Insulin, formulated, in bulk, nes",1998-01,2011-12,0.4242,continuity,3003.31.00.90 (continuity); 3003.31.00.10 (continuity); 3003.31.00.00 (continuity),none,no official source reaches 199006,,,,,,a catch-all line that may cover it,Hormones,"asserted, unsourced",,,,,,,yes,yes,3003.31.00.90,2,no,,,no,,,no,,,,27,374,3003.90.00.20,"Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk",0.9041
imports:3004.90.99.92:1991-06,51,ANALYST - a candidate is shown but NOT recommended,decide,3,the closest wording was ruled out on meaning,imports,3004.90.99.92,"Coccidiostats, in dosage",1991-06,69111.00,3004.90.99.23,"Antacids, for human use, in dosage",1990-01,1997-12,no,no,0,no,none,"NOTHING IN COMMON: this names coccidiostats and the proposal names antacids, and neither is a catch-all that could absorb the other. The score comes from shared phrasing.",0.5455,0.2000,3004.90.99.71,"Cough/cold preparations, for human use, in dosage",1990-01,1997-12,0.5429,27,no official source reaches this boundary,3004.90.00.43,"Antacids, for human use, in dosage",1998-01,2026-06,0.5455,continuity,3004.90.00.43 (continuity); 3004.90.00.11 (continuity); 3004.90.00.73 (continuity); 3004.90.00.12 (continuity); 3004.90.00.19 (continuity); 3004.90.00.34 (continuity); 3004.90.00.75 (continuity); 3004.90.00.36 (continuity); 3004.90.00.79 (continuity); 3004.90.00.72 (continuity); 3004.90.00.42 (continuity); 3004.90.00.31 (continuity); 3004.90.00.89 (continuity); 3004.90.00.81 (continuity); 3004.90.00.90 (continuity); 3004.90.00.33 (continuity); 3004.90.00.32 (continuity); 3004.90.00.69 (continuity); 3004.90.00.77 (continuity); 3004.90.00.41 (continuity); 3004.90.00.49 (continuity); 3004.90.00.50 (continuity); 3004.90.00.78 (continuity); 3004.90.00.71 (continuity); 3004.90.00.61 (continuity); 3004.90.00.20 (continuity); 3004.90.00.35 (continuity); 3004.90.00.25 (continuity); 3004.90.00.39 (continuity); 3004.90.00.74 (continuity); 3004.90.00.27 (continuity); 3004.90.00.21 (continuity); 3004.90.00.76 (continuity); 3004.90.00.23 (continuity); 3004.90.00.24 (continuity); 3004.90.00.22 (continuity); 3004.90.00.29 (continuity); 3004.90.00.26 (continuity),none,no official source reaches 199107,,3004.90.99.99,"Medicaments nes, for veterinary use, in dosage",0.4478,yes,different family,"Medicaments nes, for veterinary use, in dosage",derived from the tariff block,3004.90.99.99; 3004.90.99.89; 3004.90.99.49; 3004.90.99.29; 3004.90.99.15; 3004.90.99.19; 3004.90.99.79,"Medicaments nes, for veterinary use, in dosage (0.4478); Medicaments nes, for human use, in dosage (0.4839); Anti-infective agents, for human use, in dosage, nes (0.4167); Gastro-intestinal agents, for human use, in dosage, nes (0.4000); Medicaments, for human use, acting on the nervous system, in dosage, nes (0.3297); Medicaments, for human use, acting on the central nervous system, in dosage, nes (0.3030); Medicaments, prim affecting eyes,ears & respiratory system,human use, in dos,nes (0.3030)",0.4478,,,,NO,yes,3004.90.00.43,2,no,,,no,,,no,,,,16,307,3004.40.90.11,"Codeine phosphate, for human use, in dosage",0.5625
exports:3004.32.20:1988-11,52,CONFIRM - the evidence supports this link,decide,3,the closest wording was ruled out on meaning,exports,3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",1988-11,47163.00,3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",1989-01,2026-06,no,yes,1,no,approve,,0.6034,0.5000,,,,,,0,no official source reaches this boundary,3004.32.10,"Adrenal cortical hormones, in dosage, for human use",1988-01,1988-12,0.8738,use,3004.32.10 (use),none,no official source reaches 198812,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,71,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",0.7959
imports:3004.90.99.50:1997-12,53,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.90.99.50,"Haematological agents, for human use, in dosage",1997-12,148659591.00,3004.90.00.71,"Haematological agents, for human use, in dosage",1998-01,2026-06,yes,no,0,no,approve,,1.0000,1.0000,3004.90.00.77,"Dermatological agents, for human use, in dosage",1998-01,2026-06,0.9556,25,no official source reaches this boundary,3004.90.00.90,"Other medicaments, for veterinary use, in dosage, nes",2012-01,2026-06,0.6316,continuity;use,3004.90.00.90 (continuity;use); 3004.90.00.89 (use); 3004.90.00.81 (use); 3004.90.00.25 (continuity); 3004.90.00.24 (continuity); 3004.90.00.27 (continuity); 3004.90.00.22 (continuity); 3004.90.00.23 (continuity); 3004.90.00.29 (continuity); 3004.90.00.26 (continuity); 3004.90.00.21 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,,,,,,,,,yes,,,,no,,,no,,,no,,,,,207,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7619
imports:3004.90.99.83:1997-12,54,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.90.99.83,"Dermatological agents, for human use, in dosage",1997-12,146213780.00,3004.90.00.77,"Dermatological agents, for human use, in dosage",1998-01,2026-06,yes,no,0,no,approve,,1.0000,1.0000,3004.90.00.71,"Haematological agents, for human use, in dosage",1998-01,2026-06,0.9556,25,no official source reaches this boundary,3004.90.00.90,"Other medicaments, for veterinary use, in dosage, nes",2012-01,2026-06,0.6316,continuity;use,3004.90.00.90 (continuity;use); 3004.90.00.89 (use); 3004.90.00.81 (use); 3004.90.00.24 (continuity); 3004.90.00.25 (continuity); 3004.90.00.27 (continuity); 3004.90.00.22 (continuity); 3004.90.00.23 (continuity); 3004.90.00.29 (continuity); 3004.90.00.26 (continuity); 3004.90.00.21 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,"Medicaments nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,,,,no,,,no,,,no,,,,,207,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7619
imports:3004.39.99.10:1997-12,55,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.39.99.10,"Anterior pituitary hormones, for human use, in dosage",1997-12,97455853.00,3004.39.00.81,"Anterior pituitary hormones, for human use, in dosage",1998-01,2011-12,yes,no,0,no,approve,,1.0000,1.0000,3004.39.00.82,"Posterior pituitary hormones, for human use, in dosage",1998-06,2011-12,0.9515,4,no official source reaches this boundary,3004.39.00.90,"Hormones, nes, for vet use, in dosage",1998-01,2026-06,0.6353,use,3004.39.00.90 (use); 3004.39.00.12 (continuity); 3004.39.00.11 (continuity); 3004.39.00.19 (continuity); 3004.39.00.13 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,,,,,,,,,yes,,,,no,,,no,,,no,,,,,234,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",0.7500
imports:3004.50.99.11:1997-12,56,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.50.99.11,"Vitamin C only, for human use, in dosage",1997-12,34612678.00,3004.50.00.31,"Vitamin C only, for human use, in dosage",1998-01,2011-12,yes,no,0,no,approve,,1.0000,1.0000,3004.50.00.32,"Vitamin E only, for human use, in dosage",1998-01,2011-12,0.9737,7,no official source reaches this boundary,3004.50.00.70,"Vitamins & their derivs, nes, for vet use, in dosage",1998-01,2011-12,0.6824,use,3004.50.00.70 (use); 3004.50.00.19 (continuity); 3004.50.00.13 (continuity); 3004.50.00.14 (continuity); 3004.50.00.12 (continuity); 3004.50.00.90 (continuity;use); 3004.50.00.11 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,"Single vitamin only, nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,,,,no,,,no,,,no,,,,,229,3004.20.00.62,"Mitomycin C, for human use, in dosage",0.8493
imports:3004.50.99.12:1997-12,57,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.50.99.12,"Vitamin E only, for human use, in dosage",1997-12,20986151.00,3004.50.00.32,"Vitamin E only, for human use, in dosage",1998-01,2011-12,yes,no,0,no,approve,,1.0000,1.0000,3004.50.00.31,"Vitamin C only, for human use, in dosage",1998-01,2011-12,0.9737,7,no official source reaches this boundary,3004.50.00.70,"Vitamins & their derivs, nes, for vet use, in dosage",1998-01,2011-12,0.7059,use,3004.50.00.70 (use); 3004.50.00.19 (continuity); 3004.50.00.13 (continuity); 3004.50.00.14 (continuity); 3004.50.00.12 (continuity); 3004.50.00.90 (continuity;use); 3004.50.00.11 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,"Single vitamin only, nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,,,,no,,,no,,,no,,,,,229,3004.20.00.62,"Mitomycin C, for human use, in dosage",0.8219
imports:3004.40.90.19:1997-12,58,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.40.90.19,"Codeine or its derivs nes, for human use, in dosage",1997-12,10263737.00,3004.40.00.10,"Codeine or its derivatives, for human use, in dosage",1998-01,2011-12,yes,no,0,no,approve,,0.9293,1.0000,3004.40.00.40,"Morphine or its derivs, for human use, in dosage",1998-01,2016-12,0.8842,5,no official source reaches this boundary,,,,,,,none,none,no official source reaches 199801,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,238,3004.10.00.19,"Penicillins or their derivs nes, for human use, in dosage",0.8269
exports:3002.30.10:2016-06,59,ANALYST - a candidate is shown but NOT recommended,decide,4,two candidates are almost equally close,exports,3002.30.10,"Vaccines against foot or mouth disease, veterinary use",2016-06,9430362.00,3002.30.00,"Vaccines, for veterinary medecine",2017-01,2021-12,no,yes,6,no,none,"NOTHING IN COMMON: this names against, disease, foot, mouth and the proposal names medecine, and neither is a catch-all that could absorb the other. The score comes from shared phrasing.",0.5882,0.2500,3002.30.90,"Vaccines, veterinary use, nes",1996-01,2016-12,0.5750,0,a tariff schedule was read and ruled nothing out,,,,,,,none,none,"the 2016 to 2017 schedule holds every candidate, so it excludes none",,,,,,same class,Veterinary vaccines,"asserted, unsourced",,,,,,,NO,yes,3002.42.00,2,no,,,no,,,no,,,,,55,3002.42.00,"Vaccines, for veterinary medecine",0.5882
exports:3003.60.00:2023-08,60,DO NOT DECIDE - the record does not call this a retirement,"NOT A RETIREMENT, nothing to decide",not a retirement,"the delivery records no termination for this line and the number was never handed to different goods, so trade stopped without the classification ending. There is no transfer to trace and nothing here to answer.",exports,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",2023-08,7735481.00,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",1988-01,2026-06,no,no,0,no,approve,,0.7261,0.6471,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2019-05,2024-09,0.6795,5,a tariff schedule was read and ruled nothing out,,,,,,,none,none,"the 2023 schedule holds every candidate, so it excludes none",,,,,,a catch-all line that may cover it,Antimalarials,"asserted, unsourced",,,,,,,yes,,,,no,,,no,,,no,,,,426,36,3004.60.00,"Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",0.9359
imports:3004.39.99.20:1997-12,61,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.39.99.20,"Posterior pituitary hormones, for human use, in dosage",1997-12,1779924.00,3004.39.00.82,"Posterior pituitary hormones, for human use, in dosage",1998-06,2011-12,no,no,5,no,approve,,1.0000,1.0000,3004.39.00.81,"Anterior pituitary hormones, for human use, in dosage",1998-01,2011-12,0.9515,4,no official source reaches this boundary,3004.39.00.90,"Hormones, nes, for vet use, in dosage",1998-01,2026-06,0.6279,use,3004.39.00.90 (use); 3004.39.00.12 (continuity); 3004.39.00.19 (continuity); 3004.39.00.11 (continuity); 3004.39.00.13 (continuity),none,no official source reaches 199801,,,,,,the same commodity under a new number,,,,,,,,,yes,,,,no,,,no,,,no,,,,,234,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",0.7238
imports:3004.39.91.00:1997-09,63,CONFIRM - the evidence supports this link,decide,4,two candidates are almost equally close,imports,3004.39.91.00,"Hormones, nes, cont more than 23% of abs ethy alc by vol, in dosage",1997-09,288996.00,3004.39.00.85,"Hormones, nes, for human use, in dosage",1998-01,2011-12,no,no,3,no,approve,,0.6465,0.1667,3004.39.99.50,"Hormones, nes, for human use, in dosage",1988-01,1997-12,0.6465,12,no official source reaches this boundary,3004.39.00.11,"Medi,cont epinephrine/solutions/pituitary extracts,doses/frs,o/t No 30.02/05/06",2012-01,2026-06,0.3521,continuity,3004.39.00.11 (continuity); 3004.39.00.19 (continuity); 3004.39.00.13 (continuity); 3004.39.00.12 (continuity),none,no official source reaches 199710,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,338,3004.90.00.20,"Medicaments cont more than 23% of abs ethyl alc by vol, nes, in dosage",0.8308
